focal_mm,fov_w_deg,fov_h_deg,omega_sr,sky_fraction_pct,zhr,limiting_mag,rate_per_hour_in_frame,P_at_least_one_totality_pct
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,100,4.0,0.011652073360543544,0.022742833163458265
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,10,0.0,1.251865923208075e-05,2.4437034951141356e-05
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,10,2.0,6.059031068327086e-05,0.00011827519368345918
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,10,3.0,0.0001332986835031959,0.0002602052414535372
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,10,4.0,0.0002932571037070309,0.0005724506374593652
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,20,0.0,2.50373184641615e-05,4.887406394038507e-05
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,20,2.0,0.00012118062136654172,0.00023655024747881725
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,20,3.0,0.0002665973670063918,0.0005204098058264606
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,20,4.0,0.0005865142074140618,0.0011448979979178375
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,43,0.0,5.383023469794723e-05,0.00010507920793489944
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,43,2.0,0.0002605383359380647,0.0005085823403194745
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,43,3.0,0.0005731843390637424,0.0011188777344517398
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,43,4.0,0.0012610055459402333,0.002461514490881278
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,100,0.0,0.00012518659232080753,0.00024437008081523715
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,100,2.0,0.0006059031068327086,0.0011827456418034288
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,100,3.0,0.001332986835031959,0.0026020219466627026
200,6.381873133214926,4.266562929134308,0.008288128844159472,0.13190966745304972,100,4.0,0.0029325710370703096,0.005724358911973759
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,10,0.0,5.570784819768018e-06,1.0874445099950947e-05
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,10,2.0,2.6962598527677212e-05,5.263230331564728e-05
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,10,3.0,5.9317716760889866e-05,0.00011579103071923669
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,10,4.0,0.00013049897687395773,0.00025474009061055014
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,20,0.0,1.1141569639536035e-05,2.1748889023065487e-05
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,20,2.0,5.3925197055354425e-05,0.00010526457893123009
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,20,3.0,0.00011863543352177973,0.00023158192736794092
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,20,4.0,0.00026099795374791545,0.0005094795323068446
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,43,0.0,2.3954374725002477e-05,4.676010555426657e-05
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,43,2.0,0.00011593917366901202,0.0002263187077078399
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,43,3.0,0.00025506618207182645,0.0004979004808447485
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,43,4.0,0.0005611456005580182,0.0010953777855204905
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,100,0.0,5.570784819768019e-05,0.00010874439781982659
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,100,2.0,0.0002696259852767721,0.000526321786564754
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,100,3.0,0.0005931771676088987,0.0011579042738629752
300,4.257026834895973,2.8451056250213553,0.0036882050620089283,0.058699606675527136,100,4.0,0.0013049897687395773,0.0025473717047086453
