tt_jd,utc,seconds_from_max,sun_alt_geom_deg,sun_alt_refr_deg,sun_az_deg,airmass_rel,airmass_abs,sep_arcsec,r_sun_arcsec,r_moon_arcsec,magnitude,obsc_geometric,obsc_flux_550nm,transmission,dni_extra,dni_clear_noeclipse,ghi_clear_noeclipse,dhi_clear_noeclipse,dni_eclipsed,ghi_eclipsed_firstorder
2461265.248277593,2026-08-12T17:56:22.0Z,-2017.877608537674,10.759741750493165,10.833431608344233,280.3204479928719,5.184088783083535,4.816447319676839,1203.6682455002776,946.6572870398596,979.3237528794631,0.3815070164820014,0.2686027888513225,0.261878623541581,0.738121376458419,1325.3584975749104,277.86614147108526,93.63591637892894,41.40974162669471,205.09893881382723,69.11467148356044
2461265.248289167,2026-08-12T17:56:23.0Z,-2016.8776139616966,10.756655393874526,10.830365113493084,280.32308407664647,5.185462443123661,4.817723563486552,1203.0836964775815,946.6572867748425,979.3227682709785,0.38181524014412227,0.26891429640363435,0.2622199078749946,0.7377800921250054,1325.358496832846,277.76396429038823,93.58809164300641,41.39572272104474,204.92872316316934,69.04743087418072
2461265.248300741,2026-08-12T17:56:24.0Z,-2015.8776193857193,10.75356906308088,10.827298654273061,280.32572016486154,5.186836810964109,4.819000464901315,1202.49913612115,946.6572865098219,979.321783662041,0.38212346979236306,0.26922590643944133,0.2625612724895329,0.737438727510467,1325.3584960907722,277.66177206306645,93.54027290729387,41.381701879686766,204.75854386848906,68.9802198237366
2461265.248312315,2026-08-12T17:56:25.0Z,-2014.877624809742,10.750482758119775,10.82423223069882,280.32835625753137,5.188211887128691,4.820278024407793,1201.9145644392931,946.6572862447978,979.3207990527376,0.38243170542238103,0.2695376188827187,0.26290270530909005,0.73709729469091,1325.3584953486886,277.5595647944541,93.492460175463,41.36767910282331,204.58840432557847,68.91303946933141
2461265.248323889,2026-08-12T17:56:26.0Z,-2013.8776302337646,10.747396478995832,10.821165842782113,280.33099235467273,5.189587672143043,4.821556242494344,1201.3299814063414,946.657285979771,979.3198144431716,0.3827399470477883,0.2698494336756704,0.2632441822732306,0.7367558177267695,1325.3584946065969,277.45734248980017,93.44465345114187,41.353654390644586,204.41831125036907,68.84589206559062
2461265.248335463,2026-08-12T17:56:27.0Z,-2012.8776356577873,10.744310225716562,10.818099490537577,280.3336284563,5.190964166531986,4.822835119648572,1200.745387051692,946.6572857147404,979.3188298330372,0.3830481946528967,0.2701613507308876,0.26358563645849936,0.7364143635415006,1325.3584938644954,277.35510515446293,93.39685273800615,41.33962774335514,204.24828323730978,68.77878386583805
2461265.2483470375,2026-08-12T17:56:28.0Z,-2011.8776008486748,10.741223874119658,10.815033050611317,280.33626466848773,5.192341426245179,4.824114707852337,1200.160757818561,946.6572854496961,979.3178451831171,0.3833564606590781,0.27047338255199666,0.26392670607286584,0.7360732939271342,1325.3584931223552,277.2528486795191,93.34905611689672,41.325598596699905,204.07841757821492,68.71174722095307
2461265.2483586115,2026-08-12T17:56:29.0Z,-2010.8776062726974,10.738137672551467,10.811966769754656,280.3389007791313,5.193719340989266,4.825394904633989,1199.576140802257,946.6572851846591,979.3168605724128,0.38366472023353243,0.27078550393141987,0.26426886618965223,0.7357311338103478,1325.3584923802355,277.1505812982708,93.30126743737945,41.31156807972058,203.90831141477378,68.64464727764567
2461265.2483701855,2026-08-12T17:56:30.0Z,-2009.8776116967201,10.735051496846786,10.808900524610436,280.3415368943067,5.195097966687173,4.826675761950551,1198.991512427622,946.6572849196192,979.3158759614248,0.3839729858071868,0.2710977273787048,0.2646111200483814,0.7353888799516186,1325.358491638107,277.0482989023623,93.25348478002864,41.29753562823362,203.73823822230946,68.57757572397058
2461265.2483817595,2026-08-12T17:56:31.0Z,-2008.8776171207428,10.73196534701299,10.805834315193183,280.3441730140285,5.196477303865812,4.82795728029157,1198.406872740133,946.657284654576,979.3148913500752,0.3842812573559809,0.2714100527982052,0.26495346193664776,0.7350465380633522,1325.35849089597,276.9460014971962,93.20570814852617,41.28350124244731,203.56819963100205,68.51053310231734
